province_std,region,province_original,year,nationality,total_detentions
Araba,CONTINENTE ASIÁTICO,Araba/Álava,2012,Bangladesh,0
Araba,CONTINENTE EUROPEO,Araba/Álava,2012,Bélgica,10
Araba,CONTINENTE AMERICANO,Araba/Álava,2012,Bolivia,70
Araba,CONTINENTE AMERICANO,Araba/Álava,2012,Brasil,130
Araba,CONTINENTE EUROPEO,Araba/Álava,2012,Bulgaría,20
Araba,CONTINENTE AFRICANO,Araba/Álava,2012,Camerún,150
Araba,CONTINENTE AMERICANO,Araba/Álava,2012,Chile,30
Araba,CONTINENTE ASIÁTICO,Araba/Álava,2012,China,50
Araba,CONTINENTE AMERICANO,Araba/Álava,2012,Colombia,580
Araba,CONTINENTE AMERICANO,Araba/Álava,2012,Cuba,80
Araba,CONTINENTE AMERICANO,Araba/Álava,2012,Ecuador,280
Araba,CONTINENTE ASIÁTICO,Araba/Álava,2012,Filipinas,0
Araba,CONTINENTE EUROPEO,Araba/Álava,2012,Francia,60
Araba,CONTINENTE AFRICANO,Araba/Álava,2012,Gambia,10
Araba,CONTINENTE AFRICANO,Araba/Álava,2012,Ghana,0
Araba,CONTINENTE AFRICANO,Araba/Álava,2012,Guinea Bisau,10
Araba,CONTINENTE AFRICANO,Araba/Álava,2012,Guinea Ecuatorial,150
Araba,CONTINENTE EUROPEO,Araba/Álava,2012,Holanda,20
Araba,CONTINENTE ASIÁTICO,Araba/Álava,2012,India,0
Araba,CONTINENTE ASIÁTICO,Araba/Álava,2012,Irán,0
Araba,CONTINENTE EUROPEO,Araba/Álava,2012,Italia,20
Araba,CONTINENTE EUROPEO,Araba/Álava,2012,Lituania,10
Araba,CONTINENTE AFRICANO,Araba/Álava,2012,Mali,0
Araba,CONTINENTE AFRICANO,Araba/Álava,2012,Marruecos,990
Araba,CONTINENTE AFRICANO,Araba/Álava,2012,Nigeria,260
Araba,CONTINENTE ASIÁTICO,Araba/Álava,2012,Paquistán,50
Araba,CONTINENTE AMERICANO,Araba/Álava,2012,Paraguay,60
Araba,CONTINENTE AMERICANO,Araba/Álava,2012,Perú,80
Araba,CONTINENTE EUROPEO,Araba/Álava,2012,Polonia,40
Araba,CONTINENTE EUROPEO,Araba/Álava,2012,Portugal,120
Araba,CONTINENTE EUROPEO,Araba/Álava,2012,Reino Unido,0
Araba,CONTINENTE AMERICANO,Araba/Álava,2012,Rep. Dominicana,190
Araba,CONTINENTE AFRICANO,Araba/Álava,2012,Resto África,210
Araba,CONTINENTE AMERICANO,Araba/Álava,2012,Resto América,20
Araba,CONTINENTE ASIÁTICO,Araba/Álava,2012,Resto de Asia,0
Araba,CONTINENTE EUROPEO,Araba/Álava,2012,Resto de Europa,300
Araba,CONTINENTE EUROPEO,Araba/Álava,2012,Rumanía,600
Araba,CONTINENTE EUROPEO,Araba/Álava,2012,Rusia,0
Araba,CONTINENTE AFRICANO,Araba/Álava,2012,Senegal,20
Araba,CONTINENTE EUROPEO,Araba/Álava,2012,Ucrania,80
Araba,CONTINENTE AMERICANO,Araba/Álava,2012,Uruguay,0
Araba,CONTINENTE AMERICANO,Araba/Álava,2012,Venezuela,80
Bizkaia,CONTINENTE EUROPEO,Bizkaia,2012,Alemania,50
Bizkaia,CONTINENTE AFRICANO,Bizkaia,2012,Argelia,1520
Bizkaia,CONTINENTE AMERICANO,Bizkaia,2012,Argentina,80
